,name,author,numberOfPages,price
452,Двенадцать стульев. Золотой теленок. Одноэтажная Америка,Евгений Петров,944,792 ₽
453,"Человек, который смеется",Виктор Мари Гюго,640,432 ₽
454,Приключения Тома Сойера: повесть,Марк Твен,320,161 ₽
455,Расторжение брака,Клайв Льюис,128,198 ₽
456,Герой нашего времени,Михаил Лермонтов,320,220 ₽
457,Мастер и Маргарита,Михаил Булгаков,480,450 ₽
458,Большие надежды,Чарльз Диккенс,608,224 ₽
459,Ложится мгла на старые ступени,Александр Чудаков,704,294 ₽
460,Ночь нежна,Френсис Скотт Фицджеральд,480,216 ₽
461,"Моби Дик, или Белый кит",Герман Мелвилл,704,224 ₽
462,Пророчество о пчелах,Бернар Вербер,512,600 ₽
463,Тарас Бульба,Николай Гоголь,320,165 ₽
464,Миссис Дэллоуэй,Вирджиния Вулф,256,173 ₽
465,Тысяча и одна ночь. Книга 2. Ночи 271-719,,1200,1 203 ₽
466,Доводы рассудка,Джейн Остен,256,346 ₽
467,Алая буква,Натаниель Готорн,288,576 ₽
468,Смерть в Венеции,Томас Манн,576,271 ₽
469,Мастер и Маргарита,Михаил Булгаков,416,408 ₽
470,Госпожа Бовари. Воспитание чувств. Простая душа,Гюстав Флобер,768,813 ₽
471,День саранчи,Натанаэл Уэст,320,190 ₽
472,,,640,284 ₽
473,Когда я умирала. Святилище,Уильям Фолкнер,448,556 ₽
474,Грозовой перевал,Эмили Джейн Бронте,400,600 ₽
475,Ключи Царства,Арчибальд Кронин,448,790 ₽
476,Семнадцать мгновений весны : романы,Юлиан Семёнов,896,942 ₽
477,Белый олеандр,Джанет Фитч,512,248 ₽
478,Детство. Отрочество. Юность,Лев Толстой,416,184 ₽
479,Таинственный остров,Жюль Габриэль Верн,544,257 ₽
480,Тысяча и одна ночь. Книга 3. Ночи 719–1001,Михаил Салье,1280,1 223 ₽
481,,,320,364 ₽
482,"Праздник, который всегда с тобой",Эрнест Миллер Хемингуэй,288,248 ₽
483,Доводы рассудка,Джейн Остен,288,576 ₽
484,Ищу человека,Сергей Довлатов,288,234 ₽
485,Поднятая целина,Михаил Шолохов,672,790 ₽
486,,,288,189 ₽
487,Отель с привидениями,Уильям Уилки Коллинз,320,220 ₽
488,Вдали от обезумевшей толпы. В краю лесов: романы,Томас Гарди,672,808 ₽
489,Капитанская дочка,Александр Пушкин,384,220 ₽
490,Отверженные : роман,Виктор Мари Гюго,704,184 ₽
491,Иосиф и его братья: роман-тетралогия,Томас Манн,1440,1 415 ₽
492,Убийство на улице Морг. Мистические рассказы,Эдгар По,400,558 ₽
493,Тарас Бульба,Николай Гоголь,288,210 ₽
494,Острие бритвы,Уильям Сомерсет Моэм,416,279 ₽
495,Тайна семьи Фронтенак: роман,Франсуа Мориак,224,216 ₽
496,Гранатовый браслет. Поединок. Олеся,Александр Куприн,896,758 ₽
497,Под крики сов,Дженет Фрейм,256,443 ₽
498,О дивный новый мир,Олдос Леонард Хаксли,352,443 ₽
499,Золотой жук : сборник,Эдгар По,480,206 ₽
500,,,320,240 ₽
501,Пер Гюнт. Кукольный дом. Гедда Габлер: сборник,Генрик Ибсен,480,216 ₽
502,Волхв,Джон Роберт Фаулз,736,618 ₽
503,Двадцать четыре часа из жизни женщины,Стефан Цвейг,288,180 ₽
504,Одинокий мужчина,Кристофер Ишервуд,224,224 ₽
505,Семя желания,Энтони Бёрджесс,320,248 ₽
506,Клиника: анатомия жизни,Артур Хейли,480,279 ₽
507,В краю лесов,Томас Гарди,480,231 ₽
508,Шум прибоя,Юкио Мисима,224,181 ₽
509,Возвращение в дивный новый мир,Олдос Леонард Хаксли,192,231 ₽
510,Письмо незнакомки,Стефан Цвейг,512,600 ₽
511,Сильные мира сего. Крушение столпов. Свидание в аду: трилогия,Морис Дрюон,864,942 ₽
512,Дневник писателя,Федор Достоевский,1056,977 ₽
513,Зима тревоги нашей (новый перевод),Джон Стейнбек,416,279 ₽
514,Будденброки,Томас Манн,800,311 ₽
515,,,320,189 ₽
516,Миссис Дэллоуэй,Вирджиния Вулф,224,364 ₽
517,Чувство и чувствительность,Джейн Остен,384,576 ₽
518,Пнин,Владимир Набоков,320,518 ₽
519,Сага о Форсайтах,Джон Голсуорси,1072,349 ₽
520,Грозовой перевал,Эмили Джейн Бронте,384,388 ₽
521,Любовь во время чумы,Габриэль Гарсиа Маркес,544,427 ₽
522,Фонтан переполняется,Ребекка Уэст,512,799 ₽
523,Записки сумасшедшего : сборник,Николай Гоголь,256,165 ₽
524,1984. Скотный двор,Джордж Оруэлл,416,364 ₽
525,Тысяча и одна ночь. Книга 1. Ночи 1-270,,1184,1 269 ₽
526,Красный смех,Леонид Андреев,416,198 ₽
527,Палата № 6,Антон Чехов,320,171 ₽
528,Шагреневая кожа,Оноре де Бальзак,320,180 ₽
529,Сын менестреля. Грейси Линдсей,Арчибальд Кронин,544,230 ₽
530,Записки из подполья,Федор Достоевский,352,180 ₽
531,"Трактир на Пятницкой. Агония. Вариант ""Омега""",Николай Леонов,704,723 ₽
532,Дожить до рассвета. Альпийская баллада,Василь Быков,832,803 ₽
533,Алиса в Стране чудес и в Зазеркалье,Льюис Кэрролл,384,240 ₽
534,Звезды смотрят вниз,Арчибальд Кронин,736,253 ₽
535,"Униженные и оскорбленные. Романы, повести",Федор Достоевский,800,790 ₽
536,Дары волхвов,О. Генри,416,198 ₽
537,Дети капитана Гранта,Жюль Габриэль Верн,576,229 ₽
538,Титан,Теодор Драйзер,704,231 ₽
539,Передышка,Марио Бенедетти,320,474 ₽
540,Морфий,Михаил Булгаков,320,200 ₽
541,Сентябрьские розы : роман,Андре Моруа,224,205 ₽
542,Госпожа Бовари,Гюстав Флобер,384,576 ₽
543,На обратном пути,Эрих Ремарк,352,248 ₽
544,Письма незнакомке,Андре Моруа,256,195 ₽
545,Человек без свойств. Том 1. Том 2 (комплект из 2 книг),Роберт Музиль,1472,541 ₽
546,Упырь: сборник,Алексей Толстой,192,558 ₽
547,Американская трагедия,Теодор Драйзер,864,930 ₽
548,Граф Монте-Кристо [Роман. В 2 т.] Том I,Александр Дюма (отец),768,224 ₽
549,Темные аллеи: рассказы,Иван Бунин,384,119 ₽
550,Повесть о жизни. Книги I–III,Константин Паустовский,864,297 ₽
551,Дом на берегу,Дафна дю Морье,448,592 ₽
552,Записки из Мертвого дома,Федор Достоевский,448,189 ₽
553,Набережная Неисцелимых. Watermark: эссе (билингва),Иосиф Бродский,224,230 ₽
554,Вечера на хуторе близ Диканьки,Николай Гоголь,256,184 ₽
